Author tag,Author username,Author avatar,Is bot,Date,Content,Mentions,Attachments,Channel,Symptom1(Edginess_or_restlessness),Symptom2(Tiring_easily_more_fatigued_than_usual),Symptom3(Impaired_concentration_or_feeling_as_though_the_mind_goes_blank),Symptom4(irritability),Symptom5(Increased_muscleaches_or_soreness),Symptom6(Difficulty_sleeping),Symptom7(No_symptoms),AnxietyIntensity
#8633,ERROR 404,https://cdn.discordapp.com/avatars/497938016405553152/c3ff3123ac62d4623f23ea442ace815c.png,No,1/29/2022 1:57,rip,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1993,Monarkey,https://cdn.discordapp.com/avatars/153005412046733312/d4247f242c9c4df1b7e34e7697dfa6f8.png,No,1/25/2022 22:00,No. I usually have headphones in 24/7 until classes started back when I was in school,caitlin~☆#4733,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#7010,JackMack,https://cdn.discordapp.com/avatars/727952664025104495/085905533bffa4feec302a8b25630afb.png,No,1/29/2022 14:45,Hi everyone. I'm new to the discord. If anyone is up for a chat DM me. I would like to talk about and discuss things relating to behavioural treatments for social anxiety as I have it myself 🙂,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1022,acid025,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,1/29/2022 4:31,Hey guys and girls,Cy#6551,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8888,JX,https://cdn.discordapp.com/avatars/728327316702232579/a_d78e97f1f5575bac3f9836f97391e5ab.gif,No,12/4/2021 9:50,hi everyone,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4950,ragedog4,https://cdn.discordapp.com/avatars/205482210915123211/57f96f3a2220e4ec1fb64903e60b904d.png,No,1/28/2022 13:06,"At work and coworker asked a question to me that I thought I would ask all of you: **""You see someone liking most of your posts but never commenting on them. You don't assume they are into you, but you wonder if you could be friends due to liking the same content you post. Are they just shy? Do you message them? Why/why not?""**
 Before I answer myself I wonder what you all think. Thoughts? :) (Ttyl after work)",willjg#4481,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5743,specialboy,https://cdn.discordapp.com/avatars/510465889854947328/b18c81a82fe063c74bc5f8f61efec285.png,No,12/7/2021 14:42,"i wasn't molested or anything like that but i can relate to the feeling of being a burden and not having any of the adult stuff. i cant open up about social anxiety or depression with my family either, it feels too vulnerable right now",TickleYeTimbers#1581,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5917,james~,https://cdn.discordapp.com/avatars/509693936688693250/e59c0f9627b7abc8a7fe3ee06bc27c09.png,No,1/28/2022 8:37,"how can I prevent my face turning red in certain situations? it didn't used to be bad, but since someone pointed it out to me it's got really bad. even if I'm just talking to a close friend, it will randomly just happen in a conversation. or if im talking with a group of friends and people they are looking at me. it's bad because I can't even have a conversation with someone without this happening, even if I know them very well. it is getting to the point where I try to stay off school to avoid social stuff. any advice?",DeejC#3638,,R/SocialAnxiety,Y,N,Y,N,N,N,N,1
#2007,YouCanCallMeKal,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,10/14/2021 12:17,I wouldn’t have taken Zoloft if I had known about Brain zaps. That shit is terrible,guy_2000#4850,,R/SocialAnxiety,N,N,Y,Y,N,N,N,1
#1237,updawg,https://cdn.discordapp.com/avatars/671604825372229644/4ce2c449afe610cce7261db584805a89.png,No,1/28/2022 10:10,"I just got a meeting invite in a few hours for something i agreed to a few days ago. I really don't want to do it anymore, should I just make up an excuse like my internet died 😕",,,R/SocialAnxiety,Y,N,N,Y,N,N,N,1
#4870,KoiFish,https://cdn.discordapp.com/avatars/584833440675921977/a0bfa9019ef8067b9a7a5c523a5a0054.png,No,1/12/2022 16:29,Exposure therapy,Greg Ritferd Jr#1337,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#2469,Bhide,https://cdn.discordapp.com/avatars/926779004210540564/02041380c26461ba6e5b6af56f542d1e.png,No,1/5/2022 4:58,I can relate. Most people with social anxiety feel this way,gingerninja#1458,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#2796,a a a aaaaaa,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,1/27/2022 18:37,"i've never purposefully counted in my head, usually if i want to talk i just wait for a pause and go for it. i do think it's a bit strange but if it helps you, who cares?",,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#2667,τħenδrðικneβ,https://cdn.discordapp.com/avatars/751097840641638482/d5bef4d79707198a53158660ce614f6b.png,No,10/14/2021 0:43,"Yes, I get stomach pains too. I actually had really bad stomach pain before I realised I had anxiety, and they ran loads of tests on me and found nothing wrong. But when I started getting anxious all the time everything made sense as my stomach pain would flare up whenever I got anxious",noodlepot#4849,,R/SocialAnxiety,Y,N,N,N,Y,N,N,2
#6367,𝕾𝖙𝖗𝖊𝖌𝖆,https://cdn.discordapp.com/avatars/318224294465503232/250a17de3cdc4f0bc18e18283f7289cc.png,No,4/19/2021 14:23,"Yeah whenever I'd hang out with someone I was nervous about I'd have full body tremors that I couldn't control for like the half hour beforehand, like I was freezing lol. Its really annoying.",Npc.#5677,https://cdn.discordapp.com/attachments/369547956472250378/833944389411012618/Screenshot_20210420-014734__01.jpg,R/SocialAnxiety,Y,N,N,Y,N,N,N,1
#8624,MrDoom1006,https://cdn.discordapp.com/avatars/528894817426604042/0f0a0b9700d94f955a4b51771a0a74c7.png,No,1/26/2022 6:13,same,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#0786,Raaemus,https://cdn.discordapp.com/avatars/168216003681976320/f99cc5bac2e614ecd8c4d9afe164b721.png,No,1/5/2022 12:01,"Recently I had a breakdown after realizing i have no real connections outside of my family and partner. So I threw myself into discords trying to meet people, but now i feel overwhelmed and like I have to keep up with like 20 conversations.
 I know I overdid it and now im stressed.
 Im struggling to come to terms with the fact that I don't need like 8 friends right away, and that its not like highschool and people will come an go.
 The pandemic has just really taken a toll",dakygo#1857,,R/SocialAnxiety,Y,Y,Y,N,N,N,N,2
#2702,TaiRaa,https://cdn.discordapp.com/avatars/449250845658447882/84bb0ee995999813f569851942358354.png,No,10/29/2021 14:57,I'm new here but I wanted to go ahead and share something that's bothering me about my anxiety if that's ok,cine#7600,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3160,AustinTer,https://cdn.discordapp.com/avatars/791428346541637703/b52c74731403f412b2e5d06939c58ae1.png,No,1/23/2022 19:16,"Probably an unusual question but is there a way to know if your faking social anxiety. Not if someone else is, but if you, yourself is. Whenever I experience the common Social Anxiety symptoms I always try to convince my self that I’m lying to my self for attention. I want to ask a therapist but I feel like I would unintentionally lie to get the answer I want.",,,R/SocialAnxiety,Y,N,Y,N,N,N,N,1
#0232,Manda,https://cdn.discordapp.com/avatars/614291058607652865/c565fe54c2ecd79fd938c812b07f7347.png,No,1/25/2022 19:42,👉 👈,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1246,pawprint,https://cdn.discordapp.com/avatars/748006373954027560/60b697609c8b0a259ca81f2f9269609d.png,No,9/7/2021 18:14,Does anyone have advice for managing social anxiety at a party,Deleted User#0000,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3400,Nicoo,https://cdn.discordapp.com/avatars/235599680678002708/d405e24471a754caec8d3403561f8a7e.png,No,7/30/2021 3:57,"In the same shoes good sir, even with family sometimes and especially friends I just feel like I don't know what to say? Not sure if that's the exact same actually 🤣 . But in terms of confidence, maybe try thinking about what you don't feel confident about specifically, then you can work on those particular areas at a time and not all at once yk? For example, if you're not confident in your body then working out can help or playing a sport you feel good at, etc.",CrimsonGunslinger#1425,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9596,LitLynx,https://cdn.discordapp.com/avatars/581810557582049280/50b74e710303745e2b79ce70dd853186.png,No,6/27/2021 21:37,Most people don't understand what it's like to be physically drained when around crowds you are expected to socialize with,Deleted User#0000,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#7928,worm,https://cdn.discordapp.com/avatars/413785395025805314/9ef3e64dfb8103d55be07224f711e6e7.png,No,7/7/2021 21:04,How to deal wit panic attacks,alexaminrowe#1066,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8874,DeFyYing,https://cdn.discordapp.com/avatars/217732959791218688/d7f5409108be215d3e0b76405479a7dc.png,No,1/23/2022 19:33,"Hey, anybody on gabapentin here? I'm on 300 x3 times a day but it barely does anything, I took an extra one and it helped a ton so I'm thinking of increasing my dose",,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9189,wlafikah,https://cdn.discordapp.com/avatars/510867737950552073/8e0f5d4537f0c1a8114de37530825195.png,No,1/23/2022 13:02,Can you get some help? Or find someone to talk about the way you're feeling?,geoni#4110,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4030,spud,https://cdn.discordapp.com/avatars/569304248660262912/44885a1ab10d0a87800e1bf20ec487a0.png,No,8/14/2021 1:27,guys so if someone sends u a streak on snapchat with 'streaks' do I just reply with a photo or do i also have to reply with the word 'streaks' and a photo?? i kno im overthinking this but i also genuinely want to kno what other ppl do,Foster#0820,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8504,snewpien,https://cdn.discordapp.com/avatars/362038403618832386/7e2279248da423f4278b91b809765db2.png,No,1/23/2022 1:58,"Hey idk if this is the place to do it but does anyone wanna be conversation/small talk practice partners? Just want someone who i can be honest abt SA with. Im v serious abt this, and im done w this anxiety and i wanna improve. If anyone rly wants to partner up, pm me.",,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1740,LucyIsTrash,https://cdn.discordapp.com/avatars/353731500145115146/093cb36b8361743a9858a5461eed89d8.png,No,1/22/2022 13:21,My advice on that is remind yourself your anxiety doesn’t go away just because the event is important and that’s completely okay,ImGoingToSwim#1990,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9617,shawnsaki,https://cdn.discordapp.com/avatars/192849288877965313/31507a6ae15d3f680e5a6413073f50ed.png,No,1/10/2022 13:40,Does anybody have issues with eye contact? I feel like I can barely hold eye contact for more than 3 seconds without getting anxious,Kevinnet#4750,,R/SocialAnxiety,Y,N,Y,N,N,N,N,1
#2115,ongapoga,https://cdn.discordapp.com/avatars/929407359950929930/ab5640d723d7488ac8e480ba6b37a56f.png,No,1/22/2022 8:22,"hi, i feel,..the same thing would gonna happen with me ,... i have the same condition. because i rarely talk to anybody, have difficulty to make relations. people know me, but with nobody im close to,... i cant help u much,.. but thing u should focus on skill more,..if u looks focused and not socially fearful, some people would approach u. & yeah if u trust that friend u should share",,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#0101,Eevuh,https://cdn.discordapp.com/avatars/720523825057497130/8f5177d3a5aeb9502c38d8f6bcd1e33c.png,No,1/22/2022 7:22,"Hello everyone I'm new here :).
 sooo I have a bit of a situation and I need advice. So in 2 days I'm meeting my university classmates for the first time but I'm not close with anyone so I'm worried no one will talk to me and I'll be alone. However, there is a classmate that I talk to once in a while. Should I tell her about my social anxiety and ask for her help?",,,R/SocialAnxiety,Y,N,N,N,N,N,N,1
#0423,anon,https://cdn.discordapp.com/avatars/132466660870193153/ad764b1e9aad91525d6127b99bf83c6d.png,No,1/21/2022 13:13,"Sorry to interrupt, but I like this way of thinking",Ali Express#9594,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4813,Eraser,https://cdn.discordapp.com/avatars/307130122509746176/326a4d71c8ff5569e2134c563912d663.png,No,1/21/2022 0:40,I feel that way too sometimes. But some people will notice you and that’s what matters,TARTE#1946,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6666,prulcks,https://cdn.discordapp.com/avatars/178302265390661633/ddba2970b67a3fd007b3c5e73e6c7bb8.png,No,4/25/2021 11:35,Well two options basically:,JustHeroic#3864,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1946,TARTE,https://cdn.discordapp.com/avatars/825925750027845663/625518c985c18464af78ece28c444da7.png,No,1/20/2022 22:33,love how when i try to start conversations i get completely ignored:),,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9775,NeedleFiend,https://cdn.discordapp.com/avatars/868595658037280778/896b46ce12413d9cb89ff7a7dcc345aa.png,No,1/19/2022 15:47,I am in the same boat although when I hang out with people I feel like I am pulling teeth trying to get them to talk about anything that matters,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4574,DahBouta07,https://cdn.discordapp.com/avatars/861000412051013672/4daf21369787768a8b932590f1a8cfcc.png,No,11/21/2021 14:22,Do you have any friends or people you can rely on in England?,Lagwagon#7912,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#0638,darklight,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,8/2/2021 9:18,I'm addicted to social media,electronized#4494,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3306,敏感サラリーマン,https://cdn.discordapp.com/avatars/204563851016929280/f5cf68d94ae5c3c194277ab7e165b1a7.png,No,1/20/2022 5:08,What kind of input r u looking for?,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3728,zaddy,https://cdn.discordapp.com/avatars/720993550485028885/4497356da593898c3058e81f34872546.png,No,1/20/2022 3:55,Of course that word is banned,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8480,Vansab,https://cdn.discordapp.com/avatars/921852250215821363/2f6be89770a5ea55bacbe27f81fa752b.png,No,1/19/2022 18:07,"I'm also a lurker for a long time. I'm sure there are other lurkers like us. I've been lurking this discord server since 6 months ago with my old account. You've just unintentionally given me a temporary boost to write a discord message. Thank you for that. Now, don't mind me I'll go back to my shell, hopefully, I'll return not for long.",zombo#8675,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4074,Falaina,https://cdn.discordapp.com/avatars/190613220061478913/600fb14ca93bb0b3ed65ec69ef299d69.png,No,1/15/2022 15:18,"I'm currently working through CBT. I find it useful, if extremely frustrating, lol. Feelings generally need to be accepted as is. Thoughts/beliefs... take effort to modify depending on how much you've reinforced them",whichguy3#2488,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3296,Grayman,https://cdn.discordapp.com/avatars/861694376513372190/7c53e919b95e83406338810e3db3ca57.png,No,7/12/2021 9:14,Good morning,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6158,Ixede,https://cdn.discordapp.com/avatars/254438212364140544/bb4a876f8ad9b6acf7e91892612c6d26.png,No,10/7/2021 21:54,use meds,DrProfit#4380,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#2307,feeldabassline,https://cdn.discordapp.com/avatars/535645430394912809/042dc7b71ddeb32bbbea5b099efabb4b.png,No,11/15/2021 18:38,ello ello,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3577,Lbannana,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,12/5/2021 11:16,Hello Im Lauren I’ve had sa for 4 years now and it honestly pathetic how much I missed out on. I’ve only recently acknowledged and tried to deal with it but it feels like it’s getting worse. I would go therapy but I’m 17 so I need parents permission and I don’t want to tell anyone I have sa. Is there anything I can do ?,nxtboyIII#6472,,R/SocialAnxiety,Y,N,N,N,N,N,N,1
#4490,The king of the noobs,https://cdn.discordapp.com/avatars/811800792185044992/66d7fd25e2fe7f68ee6de2dc370e501b.png,No,1/16/2022 23:35,everyone wants a friend who could understand them ._.,BrunoNps#5206,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6320,a screaming chicken,https://cdn.discordapp.com/avatars/826393242392199228/d3e28ef9feb10e9b814f1c007bdff62b.png,No,1/4/2022 5:55,"hello, i just joined the server, because ive been observing that i might struggle with social anxiety. does anyone have any tips to help out. im quite sure this is just a end result of being inside for over 2 years",,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5520,nowidea,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,1/16/2022 9:06,Don't we all do this? I guess we have the problem bud,Francis💗#3884,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#7806,BlackScout,https://cdn.discordapp.com/avatars/316431254478258176/2b4c9973433178a07b1e40c135c49808.png,No,1/16/2022 3:43,"having covid symptoms, nobody on Twitter is interacting with my tweets and my best friend isn't replying on Discord
 

 I guess everyone muted me or idk lol",Ali Express#9594,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5413,supr,https://cdn.discordapp.com/avatars/593887919538831373/ae38b849b175e7d3ee634499ddd7c424.png,No,10/14/2021 13:42,Has anyone in here been successful in overcoming social anxiety? I have had it basically all my life and it has gotten worse over time I literally can't do anything that I want to in life because of it and I feel so hopeless.,Deleted User#0000,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#0979,Frogger,https://cdn.discordapp.com/avatars/706875533928955995/1e350718411f6fadc83f4e0e3bf240e8.png,No,4/21/2021 6:22,As far as someone like me that has ocd that sounds like classic ocd,Foster#0820,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3866,Sordahon,https://cdn.discordapp.com/avatars/404349584211574825/2bc1b206d2eae1780b561f63e6831ac7.png,No,1/15/2022 15:39,How to tell a guy to stop being overly familiar? He likes hitting me with an empty bottle(happened two times which startled me) as if it's some friendly thing as we supposedly know each other from elementary school. I probably just don't remember him but I know his brother I think. Anyway I'm annoyed at such a thing but have problems with saying something and didn't say anything regarding that since he asked if I don't remember him which confused me to the end of the day.,,,R/SocialAnxiety,N,N,Y,Y,N,N,N,1
#9753,MyName´sDariush,https://cdn.discordapp.com/avatars/490224724408795137/6f58cc1f70cd6e030d2b35c670707661.png,No,1/15/2022 12:01,"Guys i wanna meet new people but i dont have a clue how to begin, like, i wanted to go to a basketball club but they didnt accepted me and i cant go to skateparks cause my board will get water logged bc it rains everyday. and also i dont have a clue to begin a conversation :/",Bled#7463,,R/SocialAnxiety,Y,N,Y,N,N,N,N,1
#5795,Yharnamboy,https://cdn.discordapp.com/avatars/742159056873062421/07c48f0b9d0d583e8f9560d0dd143c46.png,No,1/12/2022 2:13,"I've known people who did take it, mixed reactions to it",Bled#7463,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9610,xxcaitlin,https://cdn.discordapp.com/avatars/847884122549518396/7de9562aef860677b4e47da2aa95a3df.png,No,6/1/2021 9:45,oof,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5752,dancer612,https://cdn.discordapp.com/avatars/788079921003233362/589225eacf09c2f03c9dd17e7ea5efb3.png,No,11/16/2021 13:35,"hey guys! i was just wondering, how did y'all get diagnosed with social anxiety? i haven't ever been told that i have it, but i've done a lot of research and it seems pretty close to what i'm experiencing...i just know for sure something's not right with me and how i communicate with people. so yeahh just curious as to how i could like see if i have it for sure so i can be treated",,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6232,stokie,https://cdn.discordapp.com/avatars/379421087043158016/a29ead900a0a02285cdcb29e9243c6b3.png,No,1/11/2022 13:07,does anybody here think it would be a good idea to try and convince my parents to let me do online school? I have terrible anxiety. I’m 16 for reference. This is so mentally draining. My parents don’t know that i don’t any have friends (at least i think so) and my mom always calls me super confident and outgoing so i don’t know how i could ever tell her how i genuinely feel during the 9 hour school day.,Foster#0820,,R/SocialAnxiety,Y,Y,N,N,N,N,N,1
#4829,Winter,https://cdn.discordapp.com/avatars/284457123126050817/da63cfdec20660235ab125d890ebe819.png,No,7/20/2021 15:17,That's a difficult question. A lot of this for me was exposure therapy and a ladder of things that made me anxious.,Deleted User#0000,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3543,Rhiana ʕ •ᴥ•ʔ,https://cdn.discordapp.com/avatars/929896878454222869/5dde80b62c40300acb628fb1948c6dcb.png,No,1/11/2022 11:08,"I get similar thoughts when it comes to school. Something simple that helps me is having background noise while I'm studying, calming instrumental music works best for me personally. It's enough distraction to keep The Thoughts at bay, but not so distracting that I can't focus on my schoolwork. Maybe it could be helpful to you too? Remember to take breaks if you need to! You got this! <:hype:481993728257556480>",geoni#4110,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#0647,I'mheretogiveucustomerserviceee,https://cdn.discordapp.com/avatars/774106483213336596/baea7ec620803ab65a8d656bba144eca.png,No,1/13/2022 1:37,https://vm.tiktok.com/ZSeCFaRbV/,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#2152,T.A.C.O,https://cdn.discordapp.com/avatars/612824927392890892/327ccb1f142aac899ad18412b53bd571.png,No,1/11/2022 16:37,Night night,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#7289,mooncat39,https://cdn.discordapp.com/avatars/246049485912932352/3b6a40dea02737a6540afb7cc4e1e1b9.png,No,1/12/2022 13:31,"Dang I just saw you on that server and they were extremely rude to you. I noticed you're on this server too so I came to ask, you ok?",Francis💗#3884,https://cdn.discordapp.com/attachments/369547956472250378/930937686322192404/Screenshot_20220112-1632572.png,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1425,CrimsonGunslinger,https://cdn.discordapp.com/avatars/849579032831721492/a_8707de39c587d8b220b212102694c9e4.gif,No,7/30/2021 3:38,"I feel like I'm not confident with anyone and I feel like I'm not bold enough with people, if anyone has tips to fix this I'd appreciate it",Nicoo#3400,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8067,LukePoH,https://cdn.discordapp.com/avatars/231533335145349120/54d85b5828274260a6515f1ed24f8f98.png,No,9/7/2021 13:16,"Hey guys... So I've been socially anxious for a few years now, I'm 20, and get nervous for everything, greeting people, speaking with other people , telling stories etc.
 I tried everything to make this better , but nothing seemed to work. So now I'm looking for some information on what's the best medicine to take for social anxiety that doesn't need prescription and doesn't have grave side effects.
 I really want to meet people and go to parties etc but I just can't , I get so nervous even just thinking about all that.
 Really appreciate some help, and hope you have all amazing days",pawprint#1246,,R/SocialAnxiety,Y,N,Y,N,N,N,N,1
#6433,Climate Crisis,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,12/7/2021 9:38,shouldn't there be a channel about the science of social anxiety?,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4750,Kevinnet,https://cdn.discordapp.com/avatars/386567392186204162/b197a8df4b37e367ba9d5a0336b6a1e9.png,No,1/10/2022 18:25,Um hi...,pawprint#1246,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4736,ivansipek,https://cdn.discordapp.com/avatars/924058406468321332/a6f99e4513ac41eeff0db401994f7e78.png,No,12/24/2021 14:24,does anyone forgot how to walk while going down a street and if you look up or try to make eye contact start to have glassy eyes?,niconicholerr#8709,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6139,cheel,https://cdn.discordapp.com/avatars/831235412843823125/b59617c8b861419e0ab79b3ac6e70550.png,No,1/9/2022 17:53,10 minutes is 4 hours in social anxiety time,Teguanna#5875,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3534,Sonamek,https://cdn.discordapp.com/avatars/898581133724364801/83179e10f78b5696daf5f3e91988df94.png,No,1/9/2022 13:53,Anyone have tips to get out of isolation zone? Haven’t been so alone since EVER!,nxtboyIII#6472,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3840,stkptr,https://cdn.discordapp.com/avatars/863086138683686912/8b534744c864b61520f4b18084179f03.png,No,12/23/2021 9:18,"mine acts up a lot with that sort of thing, but in my case I think it's more being scared that people are judging my life decisions rather than talking with the person at the apartments or whatever",,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6921,excovia,https://cdn.discordapp.com/avatars/321863506024595459/9a948ed32355e072317a200fbd326be5.png,No,6/3/2021 21:17,"omg same, at the starbucks by me they allowed fully vaccinated people to not wear a mask inside but there were some people with a mask inside and i felt sooo guilty without mine on",,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4913,chuu,https://cdn.discordapp.com/avatars/829353559635132427/cfbc4326269aa5819793598ce792b4df.png,No,1/9/2022 5:42,is it weird that my social anxiety happens only irl and not online?,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1152,nunu,https://cdn.discordapp.com/avatars/856198013738024971/a361d2feb59617d098c9253fe9cd2b6f.png,No,1/8/2022 23:12,im failing school rn but im still trying and searching for help,Deleted User#0000,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1018,S ೋ,https://cdn.discordapp.com/avatars/847884955786018846/339be41be11a6bd8034b23bbabf12368.png,No,1/8/2022 9:15,what is a clear sign of social anxiety?,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6383,mielle♡,https://cdn.discordapp.com/avatars/657092630559195156/c09774d70a2455efe39abbc23e7bebcf.png,No,1/7/2022 2:25,"Mindfulness/meditation. I suffer from panic attacks, and they make me exhausted. I’ve noticed that practicing breathing, helped the pain and reduce palpitations.",<33#0236,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4494,christina,https://cdn.discordapp.com/avatars/748005984886325279/63dc40fb35a99a70321f97693b1403b7.png,No,5/14/2021 12:07,I have a friend who doesn't understand what anxiety is and I get super insecure but she doesn't understand,Rj#5192,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8709,niconicholerr,https://cdn.discordapp.com/avatars/918642029481844777/a63f306234b1c7ab495b3d3f2265ebe9.png,No,12/17/2021 17:28,going to finally message peeps on bumble BFF after being ghosted too many times to count in the past. I’m feeling very fearful and anxious rn 🥲,chameLéon#0851,,R/SocialAnxiety,Y,N,N,Y,N,N,N,1
#9963,lunaa <3,https://cdn.discordapp.com/avatars/760104330031267851/306191437a9666aac68c9c10959098d5.png,No,1/7/2022 7:25,"symptoms differ for everyone! but this would be symptoms that you do usually see in someone that has social anxiety. I think you should seek professional help to see if you really do have social anxiety, but i think this is the start of social anxiety",,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#0236,<33,https://cdn.discordapp.com/avatars/292398191989751809/d39955bb508689e227bb4e9ce0d53e24.png,No,1/7/2022 2:08,Does anyone know how to calm the nerves I keep waking up so early and for no reason except I have huge heart palpitations,nier#5072,,R/SocialAnxiety,Y,N,N,N,Y,Y,N,2
#5572,Isaac_The_Irregular,https://cdn.discordapp.com/avatars/602247200138854403/a6db23f9f9b860ecf7fbc168f88098d1.png,No,1/6/2022 21:55,"I joined because I think I may have social anxiety, but I'm not entirely sure.",,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8051,Sentient Chair,https://cdn.discordapp.com/avatars/701565681476436109/ee33ed748995fa00855268b170eef5f6.png,No,7/28/2021 0:00,my friend struggles with eating in front of people too. i have disorded eating so especially when there is a large pressure my me to eat in a decent time i can get anxious.,bina#3109,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9764,cytokine storm,https://cdn.discordapp.com/avatars/417749078533865472/87fa9e8e9a124dcec657f99efa8f8bc8.png,No,1/5/2022 16:27,lmao i am in my thirties and still learning this sometimes,specialboy#5743,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5673,chu,https://cdn.discordapp.com/avatars/475041871220178945/6f2c230feffc3a56a034244373753c8f.png,No,1/5/2022 4:12,Dont have anxiety like that anymore. Would love to explain if yall want,IDano 🎵#0186,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#3619,🌈Cat Central🌈,https://cdn.discordapp.com/avatars/426697103641804821/2e84c5b5f4bee017b5f386101b1bfc50.png,No,1/5/2022 9:53,"Here's some of my behaviors which have lead me to believe that I may have social anxiety.
 1: I want to RP a lot, but when I do I have generally reduced actions/reactions to avoid... I have no idea, I just don't enjoy being myself that much.
 2: I ***HATE*** dancing and Idk why.
 3 I ***HATE*** people knowing what kind of music I like.
 4: Just general shyness...",Noobia#2501,,R/SocialAnxiety,Y,N,N,Y,N,N,N,1
#1458,gingerninja,https://cdn.discordapp.com/avatars/315651289599967233/24fcfa3d39025f2a3769ad1f32612175.png,No,12/10/2021 2:28,"I have this problem as well. And everytime I try to actively force making eye contact I can’t maintain it for more than 1 second, because the tension I am feeling is so high",moondame#7616,,R/SocialAnxiety,Y,N,Y,N,N,N,N,1
